Features,Importance
age,0.09365124321642218
sex,0.041800057536218065
chest pain type,0.13517161173407133
resting bp s,0.08047277185840754
cholesterol,0.09188894901883479
fasting blood sugar,0.02305501884806513
resting ecg,0.027878431396364447
max heart rate,0.12224905906492692
exercise angina,0.07116601193222526
oldpeak,0.1208472128426884
ST slope,0.19181963255177592
